Bin_center_value,Bin_counts,Land_type
0.255861923,3,cloud
0.256005283,0,cloud
0.256148642,5,cloud
0.256292001,0,cloud
0.256435361,7,cloud
0.25657872,7,cloud
0.25672208,0,cloud
0.256865439,4,cloud
0.257008798,6,cloud
0.257152158,0,cloud
0.257295517,0,cloud
0.257438877,7,cloud
0.257582236,8,cloud
0.257725595,0,cloud
0.257868955,5,cloud
0.258012314,5,cloud
0.258155673,0,cloud
0.258299033,0,cloud
0.258442392,8,cloud
0.258585752,6,cloud
0.258729111,4,cloud
0.25887247,0,cloud
0.25901583,4,cloud
0.259159189,4,cloud
0.259302549,0,cloud
0.259445908,0,cloud
0.259589267,4,cloud
0.259732627,6,cloud
0.259875986,0,cloud
0.260019345,7,cloud
0.260162705,11,cloud
0.260306064,0,cloud
0.260449424,2,cloud
0.260592783,0,cloud
0.260736142,2,cloud
0.260879502,0,cloud
0.261022861,8,cloud
0.261166221,9,cloud
0.26130958,0,cloud
0.261452939,8,cloud
0.261596299,0,cloud
0.261739658,4,cloud
0.261883018,0,cloud
0.262026377,3,cloud
0.262169736,5,cloud
0.262313096,0,cloud
0.262456455,4,cloud
0.262599814,4,cloud
0.262743174,0,cloud
0.262886533,0,cloud
0.263029893,4,cloud
0.263173252,3,cloud
0.263316611,0,cloud
0.263459971,3,cloud
0.26360333,3,cloud
0.26374669,0,cloud
0.263890049,0,cloud
0.264033408,4,cloud
0.264176768,8,cloud
0.264320127,0,cloud
0.264463486,6,cloud
0.264606846,1,cloud
0.264750205,8,cloud
0.264893565,0,cloud
0.265036924,0,cloud
0.265180283,2,cloud
0.265323643,0,cloud
0.265467002,3,cloud
0.265610362,4,cloud
0.265753721,2,cloud
0.26589708,0,cloud
0.26604044,0,cloud
0.266183799,5,cloud
0.266327158,0,cloud
0.266470518,1,cloud
0.266613877,7,cloud
0.266757237,7,cloud
0.266900596,0,cloud
0.267043955,2,cloud
0.267187315,0,cloud
0.267330674,3,cloud
0.267474034,0,cloud
0.267617393,2,cloud
0.267760752,5,cloud
0.267904112,0,cloud
0.268047471,2,cloud
0.26819083,0,cloud
0.26833419,0,cloud
0.268477549,0,cloud
0.268620909,0,cloud
0.268764268,2,cloud
0.268907627,0,cloud
0.269050987,3,cloud
0.269194346,2,cloud
0.269337706,0,cloud
0.269481065,0,cloud
0.269624424,4,cloud
0.269767784,6,cloud
0.269911143,0,cloud
0.270054503,1,cloud
0.270197862,4,cloud
0.270341221,0,cloud
0.270484581,0,cloud
0.27062794,1,cloud
0.270771299,2,cloud
0.270914659,0,cloud
0.271058018,5,cloud
0.271201378,0,cloud
0.271344737,2,cloud
0.271488096,0,cloud
0.271631456,0,cloud
0.271774815,3,cloud
0.271918175,0,cloud
0.272061534,7,cloud
0.272204893,1,cloud
0.272348253,1,cloud
0.272491612,0,cloud
0.272634971,0,cloud
0.272778331,0,cloud
0.27292169,0,cloud
0.27306505,1,cloud
0.273208409,1,cloud
0.273351768,0,cloud
0.273495128,0,cloud
0.273638487,1,cloud
0.273781847,0,cloud
0.273925206,0,cloud
0.274068565,1,cloud
0.274211925,2,cloud
0.274355284,2,cloud
0.274498643,0,cloud
0.274642003,0,cloud
0.274785362,0,cloud
0.274928722,3,cloud
0.275072081,0,cloud
0.27521544,1,cloud
0.2753588,0,cloud
0.275502159,0,cloud
0.275645519,3,cloud
0.275788878,6,cloud
0.275932237,0,cloud
0.276075597,0,cloud
0.276218956,3,cloud
0.276362316,0,cloud
0.276505675,0,cloud
0.276649034,0,cloud
0.276792394,2,cloud
0.276935753,4,cloud
0.277079112,0,cloud
0.277222472,0,cloud
0.277365831,1,cloud
0.277509191,0,cloud
0.27765255,5,cloud
0.277795909,2,cloud
0.277939269,2,cloud
0.278082628,0,cloud
0.278225988,0,cloud
0.278369347,1,cloud
0.278512706,0,cloud
0.278656066,2,cloud
0.278799425,2,cloud
0.278942784,1,cloud
0.279086144,0,cloud
0.279229503,0,cloud
0.279372863,0,cloud
0.279516222,0,cloud
0.279659581,3,cloud
0.279802941,0,cloud
0.2799463,2,cloud
0.28008966,0,cloud
0.280233019,3,cloud
0.280376378,0,cloud
0.280519738,0,cloud
0.280663097,1,cloud
0.280806456,2,cloud
0.280949816,1,cloud
0.281093175,0,cloud
0.281236535,2,cloud
0.281379894,3,cloud
0.281523253,0,cloud
0.281666613,0,cloud
0.281809972,0,cloud
0.281953332,2,cloud
0.282096691,0,cloud
0.28224005,0,cloud
0.28238341,0,cloud
0.282526769,0,cloud
0.282670128,0,cloud
0.282813488,0,cloud
0.282956847,0,cloud
0.283100207,0,cloud
0.283243566,2,cloud
0.283386925,0,cloud
0.283530285,2,cloud
0.283673644,0,cloud
0.283817004,0,cloud
0.283960363,0,cloud
0.284103722,0,cloud
0.284247082,1,cloud
0.284390441,0,cloud
0.284533801,1,cloud
0.28467716,0,cloud
0.284820519,0,cloud
0.284963879,1,cloud
0.285107238,0,cloud
0.285250597,0,cloud
0.285393957,0,cloud
0.285537316,0,cloud
0.285680676,0,cloud
0.285824035,0,cloud
0.285967394,0,cloud
